date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:50:44	53900/53900	---M--	200	added ('OK')	image/jpeg	date:Tue,%2024%20Jan%202017%2014:18:10%20GMT	https://premiumlayers.com/html/maxrestaurant/assets/images/event3.jpg	C:/Users/chupex/Documents/HTTTRACK/restaurant/premiumlayers.com/html/maxrestaurant/assets/images/event3.jpg	(from https://premiumlayers.com/html/maxrestaurant/?storefront=envato-elements)
23:50:44	86116/86116	---M--	200	added ('OK')	image/jpeg	date:Tue,%2024%20Jan%202017%2014:18:24%20GMT	https://premiumlayers.com/html/maxrestaurant/assets/images/latest-post1.jpg	C:/Users/chupex/Documents/HTTTRACK/restaurant/premiumlayers.com/html/maxrestaurant/assets/images/latest-post1.jpg	(from https://premiumlayers.com/html/maxrestaurant/?storefront=envato-elements)
23:50:45	73774/73774	---M--	200	added ('OK')	image/jpeg	date:Tue,%2024%20Jan%202017%2014:18:24%20GMT	https://premiumlayers.com/html/maxrestaurant/assets/images/latest-post2.jpg	C:/Users/chupex/Documents/HTTTRACK/restaurant/premiumlayers.com/html/maxrestaurant/assets/images/latest-post2.jpg	(from https://premiumlayers.com/html/maxrestaurant/?storefront=envato-elements)
23:50:45	97162/97162	---M--	200	added ('OK')	application/javascript	date:Thu,%2025%20Oct%202018%2014:28:48%20GMT	https://premiumlayers.com/html/maxrestaurant/assets/js/jquery-1.12.4.min.js	C:/Users/chupex/Documents/HTTTRACK/restaurant/premiumlayers.com/html/maxrestaurant/assets/js/jquery-1.12.4.min.js	(from https://premiumlayers.com/html/maxrestaurant/?storefront=envato-elements)
23:50:45	112106/112106	---M--	200	added ('OK')	application/javascript	date:Tue,%2024%20Jan%202017%2014:19:00%20GMT	https://premiumlayers.com/html/maxrestaurant/assets/js/lib.js	C:/Users/chupex/Documents/HTTTRACK/restaurant/premiumlayers.com/html/maxrestaurant/assets/js/lib.js	(from https://premiumlayers.com/html/maxrestaurant/?storefront=envato-elements)
23:50:45	107381/107381	---M--	200	added ('OK')	application/javascript	date:Thu,%2025%20Oct%202018%2014:49:16%20GMT	https://premiumlayers.com/html/maxrestaurant/assets/revolution/js/jquery.themepunch.tools.min.js?rev=5.0	C:/Users/chupex/Documents/HTTTRACK/restaurant/premiumlayers.com/html/maxrestaurant/assets/revolution/js/jquery.themepunch.tools.min838f.js	(from https://premiumlayers.com/html/maxrestaurant/?storefront=envato-elements)
23:50:46	23863/23863	---M--	200	added ('OK')	application/javascript	date:Tue,%2024%20Jan%202017%2014:20:38%20GMT	https://premiumlayers.com/html/maxrestaurant/assets/revolution/js/extensions/revolution.extension.video.min.js	C:/Users/chupex/Documents/HTTTRACK/restaurant/premiumlayers.com/html/maxrestaurant/assets/revolution/js/extensions/revolution.extension.video.min.js	(from https://premiumlayers.com/html/maxrestaurant/?storefront=envato-elements)
23:50:46	62649/62649	---M--	200	added ('OK')	application/javascript	date:Thu,%2025%20Oct%202018%2014:48:00%20GMT	https://premiumlayers.com/html/maxrestaurant/assets/revolution/js/jquery.themepunch.revolution.min.js?rev=5.0	C:/Users/chupex/Documents/HTTTRACK/restaurant/premiumlayers.com/html/maxrestaurant/assets/revolution/js/jquery.themepunch.revolution.min838f.js	(from https://premiumlayers.com/html/maxrestaurant/?storefront=envato-elements)
23:50:46	28412/28412	---M--	200	added ('OK')	application/javascript	date:Tue,%2024%20Jan%202017%2014:20:38%20GMT	https://premiumlayers.com/html/maxrestaurant/assets/revolution/js/extensions/revolution.extension.slideanims.min.js	C:/Users/chupex/Documents/HTTTRACK/restaurant/premiumlayers.com/html/maxrestaurant/assets/revolution/js/extensions/revolution.extension.slideanims.min.js	(from https://premiumlayers.com/html/maxrestaurant/?storefront=envato-elements)
23:50:46	26065/26065	---M--	200	added ('OK')	application/javascript	date:Tue,%2024%20Jan%202017%2014:20:36%20GMT	https://premiumlayers.com/html/maxrestaurant/assets/revolution/js/extensions/revolution.extension.navigation.min.js	C:/Users/chupex/Documents/HTTTRACK/restaurant/premiumlayers.com/html/maxrestaurant/assets/revolution/js/extensions/revolution.extension.navigation.min.js	(from https://premiumlayers.com/html/maxrestaurant/?storefront=envato-elements)
23:50:47	50169/50169	---M--	200	added ('OK')	application/javascript	date:Tue,%2024%20Jan%202017%2014:20:36%20GMT	https://premiumlayers.com/html/maxrestaurant/assets/revolution/js/extensions/revolution.extension.layeranimation.min.js	C:/Users/chupex/Documents/HTTTRACK/restaurant/premiumlayers.com/html/maxrestaurant/assets/revolution/js/extensions/revolution.extension.layeranimation.min.js	(from https://premiumlayers.com/html/maxrestaurant/?storefront=envato-elements)
23:50:47	11305/11305	---M--	200	added ('OK')	application/javascript	date:Tue,%2024%20Jan%202017%2014:18:58%20GMT	https://premiumlayers.com/html/maxrestaurant/assets/js/functions.js	C:/Users/chupex/Documents/HTTTRACK/restaurant/premiumlayers.com/html/maxrestaurant/assets/js/functions.js	(from https://premiumlayers.com/html/maxrestaurant/?storefront=envato-elements)
